Cast/Dive #,Date,Site,Niskin,Cruise sample ID,SH number,Latitude,Longitude,Time fired,Target depth,Actual trip depth,Altitude,Volume,Nutrients,DOC,Cell counts,CTD Salinity,Lab Salinity,CTD Temperature,Probe temperature,CTD DO2 (mg/L),Lab DO2 (mg/L),Lab DO2 (% sat),CTD pH,Lab pH,Sampling notes
GE12,8/6/21,VK826,4,PS21_001,SH18180,29.15774,-88.01561,14:36,,474,,1.12,0,0,0,,31,,18.2,,4.84,62.6,,7.48,pH low
GE12,8/6/21,VK826,5,PS21_001,SH18181,29.15774,-88.01561,14:36,,474,,1.04,0,0,0,,32,,18.4,,5.15,64.8,,7.56,
GE12,8/6/21,VK826,6,PS21_001,SH18182,29.15774,-88.01561,14:36,,474,,0.98,0,0,0,,31,,18.2,,5.16,70.3,,7.59,
CTD01,8/6/21,VK826,1,PS21_012,SH18183,29°09.473' N,88°00.931' W,20:49,btm,469.1,1.11,4.6,6,2,1,36.028,36,8.554,18,3.163,4.58,58.9,8.31,7.69,current is NE at ~0.1m/s
CTD01,8/6/21,VK826,2,PS21_012,SH18184,29°09.473' N,88°00.931' W,20:49,btm,469.1,1.11,5.3,6,2,1,36.028,37,8.554,16.6,3.163,5.14,61.3,8.31,7.64,
CTD01,8/6/21,VK826,5,PS21_013,SH18187,29°09.473' N,88°00.931' W,20:51,5,464.5,6.144,5.4,6,2,1,35.035,36,8.649,15.2,3.177,4.5,55.9,8.315,7.69,
CTD01,8/6/21,VK826,7,PS21_014,SH18189,29°09.473' N,88°00.931' W,20:52,10,461.4,10.145,4.8,6,2,1,35.037,38,8.66,15.1,3.17097,4.82,57.3,8.314,7.66,
CTD01,8/6/21,VK826,8,PS21_014,SH18190,29°09.473' N,88°00.931' W,20:52,10,461.4,10.145,5.8,6,2,1,35.037,37,8.66,15.7,3.17097,4.72,59.6,8.314,7.64,
CTD01,8/6/21,VK826,9,PS21_014,SH18191,29°09.473' N,88°00.931' W,20:52,10,461.4,10.145,5.3,6,2,1,35.037,38,8.66,16.5,3.17097,5.2,63.1,8.314,7.64,
CTD01,8/6/21,VK826,10,PS21_015,SH18192,29°09.473' N,88°00.931' W,20:53,20,452.12,20.445,5.3,6,2,1,35.073,38,8.957,16.1,3.13758,4.73,60.5,8.323,7.67,
CTD01,8/6/21,VK826,12,PS21_015,SH18194,29°09.473' N,88°00.931' W,20:53,20,452.12,20.445,5.7,6,2,1,35.073,37,8.957,16.9,3.13758,4.89,61,8.323,7.66,
,8/6/21,VK826,,Filtration blank,SH18195,,,,,,,1,,,,,,,,,,,,,DI blank
CTD02,8/6/21,VK826,1,PS21_016,SH18196,29°09.481' N,88°00.941' W,23:49,btm,468.28,1.058,4,6,2,1,35.021,34,8.486,17.2,3.18,5.41,66.8,8.325,7.6,
CTD02,8/6/21,VK826,2,PS21_016,SH18197,29°09.481' N,88°00.941' W,23:49,btm,468.28,1.058,5.4,6,2,1,35.021,33,8.486,16.5,3.18,5.25,63.7,8.325,7.62,
CTD02,8/6/21,VK826,3,PS21_016,SH18198,29°09.481' N,88°00.941' W,23:49,btm,468.28,1.058,5.3,6,2,1,35.021,33,8.486,15.6,3.18,5.4,67.9,8.325,7.67,
CTD02,8/6/21,VK826,4,PS21_017,SH18199,29°09.481' N,88°00.941' W,23:51,5,463.49,5.214,5.4,6,2,1,35.019,34,8.484,17.7,3.18145,5.39,67.9,8.325,7.77,
CTD02,8/6/21,VK826,5,PS21_017,SH18200,29°09.481' N,88°00.941' W,23:51,5,463.49,5.214,4.5,6,2,1,35.019,34,8.484,16,3.18145,4.76,60.3,8.325,7.68,
CTD02,8/6/21,VK826,6,PS21_017,SH18201,29°09.481' N,88°00.941' W,23:51,5,463.49,5.214,5.8,6,2,1,35.019,34,8.484,15.5,3.18145,5.34,64.1,8.325,7.67,
